#{"t_start": 1735582979.81298, "env_id": "None"}
r,l,t
5.693675,498,25385.147451
8.041124,833,25407.381506
30.586966,1501,25446.595935
86.770485,1501,25484.978819
86.66341,1501,25522.772132
66.290726,1501,25561.244017
26.209496,1501,25599.693687
67.94278,1501,25638.29157
40.069228,1501,25675.67372
56.269068,1501,25714.746611
66.261234,1501,25753.502364
59.947758,1501,25792.651341
74.985322,1501,25831.64727
78.130364,1501,25869.4831
76.529898,1501,25908.559006
78.431227,1501,25947.596619
65.633051,1501,25986.811674
9.839055,1066,26014.920886
72.420965,1501,26054.165763
84.368574,1501,26092.880516
83.669034,1501,26131.301571
80.801328,1501,26170.053653
79.365831,1501,26208.819192
