#{"t_start": 1731235527.5467494, "env_id": "None"}
r,l,t
1.328923,49,6204.660977
1.103745,64,6206.249386
1.229293,41,6207.405152
0.668756,42,6208.623579
1.158406,48,6209.941154
0.900678,49,6211.298723
0.195561,37,6212.399724
1.068129,39,6213.564337
1.535009,42,6214.810528
0.892132,40,6215.969949
1.03173,47,6217.268034
0.707295,44,6218.523275
1.301569,43,6219.767177
0.11058,45,6221.037512
1.33463,40,6222.211021
0.683544,45,6223.456919
0.938469,39,6224.630041
1.324986,40,6225.823837
0.158514,46,6227.135916
0.059318,45,6228.422683
1.553059,42,6229.626592
1.061306,42,6230.824941
0.503961,38,6231.974049
1.101231,43,6233.191256
1.141104,43,6234.585194
1.8205,42,6235.824039
0.655094,41,6237.127818
0.605304,38,6238.368603
1.032814,45,6239.804061
1.135566,44,6241.08858
0.007256,49,6242.468255
0.459185,48,6243.877512
0.56233,41,6245.14908
0.279705,50,6246.552313
0.919607,42,6247.800169
0.5069,42,6249.064253
0.867741,38,6250.256583
0.671803,42,6251.59217
1.214448,43,6252.867386
0.897924,37,6254.044442
0.915063,43,6255.316117
1.154802,41,6256.613415
0.817623,41,6257.868035
1.049242,40,6259.113454
0.664081,46,6260.452478
0.905521,36,6261.601638
0.735362,42,6262.878641
0.845412,38,6264.137533
1.09878,39,6265.357237
0.910525,44,6266.665886
1.773741,41,6267.92148
1.123313,47,6269.292067
1.382208,41,6270.544269
0.766517,39,6271.727618
1.370121,38,6272.932661
1.310128,38,6274.155592
1.482697,41,6275.400328
1.158699,38,6276.588553
1.445673,41,6277.858178
1.575623,44,6279.168568
1.685897,40,6280.387987
1.455902,38,6281.568674
1.363394,41,6282.842569
1.289084,40,6284.084528
1.414046,37,6285.284677
1.39897,39,6286.5469
1.82845,43,6287.824473
0.811097,38,6288.991545
1.589867,39,6290.17234
1.06993,34,6291.297359
1.018766,39,6292.518965
1.248446,39,6293.734397
1.344029,40,6294.969979
1.255326,38,6296.212631
1.113976,44,6297.527622
1.965291,42,6298.813671
1.447311,41,6300.049337
1.107112,40,6301.299395
1.04131,41,6302.560809
0.976308,37,6303.79265
1.501835,41,6305.039215
1.467559,39,6306.254555
1.299958,38,6307.43877
1.221312,42,6308.704396
0.869943,36,6309.879295
1.070654,39,6311.068669
1.128358,41,6312.298026
0.91033,37,6313.469342
1.758376,43,6314.793862
1.487715,40,6316.036906
0.622336,34,6317.152601
1.127329,37,6318.335344
0.616363,37,6319.505028
1.898512,44,6320.810633
1.876429,42,6322.068471
1.164293,38,6323.305673
0.998627,35,6324.39841
1.409432,39,6325.611505
0.955672,38,6327.112678
1.516934,40,6328.46768
1.325506,42,6329.861767
0.938903,44,6331.349956
0.77629,39,6332.715084
1.184832,37,6334.101655
0.429778,38,6336.076998
0.806321,43,6337.487623
1.477624,43,6338.923118
0.967906,39,6340.28891
1.408581,41,6341.775959
1.323629,45,6343.267306
1.639021,46,6344.786216
1.199062,40,6346.153006
1.10317,42,6347.704396
1.423962,42,6349.076506
1.402308,39,6350.404601
1.581165,40,6351.703974
1.176788,42,6353.059422
1.339246,39,6354.389957
1.188672,37,6355.690255
1.054858,39,6357.072685
1.588282,41,6358.441671
1.70027,47,6360.04248
1.77211,44,6361.485498
0.555529,42,6362.867548
0.754499,38,6364.19305
0.579628,37,6365.485556
1.372457,51,6367.180684
1.768868,46,6368.692293
1.405741,41,6370.039607
1.324053,40,6371.369333
1.617986,40,6372.736944
1.308249,49,6374.329025
1.195216,40,6375.713882
1.433476,45,6377.177348
1.363665,41,6378.59861
1.146009,40,6379.946759
0.960889,40,6381.297258
1.746755,47,6383.014361
1.6913,43,6384.453482
1.680883,44,6385.919273
1.655002,44,6387.337917
0.476039,36,6388.613802
1.440416,41,6390.004959
0.73674,43,6391.448014
0.849921,42,6392.90796
0.864864,41,6394.292565
0.436743,38,6395.602374
1.336532,41,6397.000301
1.58611,40,6398.309613
1.212669,45,6399.820177
1.532857,42,6401.40257
1.324652,40,6402.781554
0.884813,37,6404.093457
1.148557,42,6405.446688
1.524351,46,6406.987191
1.339497,46,6408.398663
1.66572,45,6409.871661
1.017312,38,6411.176353
0.785426,37,6412.534685
0.953944,39,6413.845917
0.768099,39,6415.157949
0.871011,40,6416.581798
1.615937,46,6418.067712
1.64695,48,6419.524865
1.406363,51,6421.100424
1.091664,38,6422.349298
1.541348,44,6423.806655
0.944077,39,6425.083014
1.268269,44,6426.530055
1.532231,45,6427.978997
1.186259,40,6429.288062
1.44006,50,6430.797426
0.50908,40,6432.196271
0.904351,38,6433.562499
1.852803,49,6435.145171
0.953653,45,6436.619674
0.296334,37,6437.953604
1.122985,45,6439.448871
1.707196,47,6440.969314
1.240549,44,6442.627999
1.44869,45,6444.042263
1.286527,48,6445.630481
0.564071,37,6446.884879
1.029297,45,6448.42978
1.574564,52,6450.173932
1.623561,44,6451.586248
1.144072,44,6452.985303
0.953336,39,6454.427717
0.790305,41,6455.746155
1.238946,45,6457.190035
1.134528,44,6458.629406
0.45887,35,6459.914673
1.287279,43,6461.453067
0.338779,39,6462.754913
1.487047,48,6464.488323
0.665258,39,6466.007101
1.271909,49,6468.777662
0.999336,41,6470.185434
1.262366,48,6472.073381
0.065069,33,6473.493032
0.420535,39,6474.935209
0.876511,42,6476.435094
1.294881,47,6478.099994
0.630411,41,6479.616394
0.593009,38,6480.983192
0.442664,39,6482.2985
0.265448,32,6483.587575
0.181341,32,6485.083962
1.058311,47,6486.907042
0.510819,43,6491.256772
1.296746,45,6494.526343
0.468385,45,6496.443877
0.834731,47,6498.096199
1.213095,50,6500.300888
1.58787,55,6502.342043
0.089341,37,6504.966855
0.610519,41,6506.841234
0.789748,46,6508.641976
0.68469,48,6510.602235
0.698948,44,6512.258084
0.248473,37,6513.68368
0.934676,43,6515.213732
1.044498,47,6516.93714
1.370979,46,6518.612303
1.488893,50,6520.404302
0.754606,48,6521.898516
1.27565,48,6523.395291
1.26062,49,6524.906029
1.073224,44,6526.341372
0.164592,42,6527.67006
0.678492,43,6528.99368
1.702978,52,6530.465317
0.156948,37,6531.65517
1.234613,55,6533.188916
0.077788,37,6534.429153
0.538777,50,6535.873647
0.814021,42,6537.14532
0.392813,40,6538.423949
1.651738,55,6539.956641
0.635404,48,6541.363093
0.904364,43,6542.685767
0.771619,48,6544.110497
1.428075,52,6545.58405
1.058318,54,6547.083734
